rho,momentum,energy
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
1,0,2.5
